Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C18, C19, C20, C21, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C8",0402,41,100nF,C1525
"C11, C12, C14, C15, C2, C4, C5, C9",0402,8,1uF,C52923
"C17, C22",0402,2,4.7uF,C466620
C23,0402,1,2.2uF,C2976056
"C6, C7",0402,2,30pF,C1570
"CH1, CH10, CH11, CH12, CH13, CH14, CH2, CH3, CH4, CH5, CH6, CH7, CH8, CH9",SW_choc_v2_HS_CPG135001S30_1u,14,choc_v1_SW_HS,C5333465
"CN1, CN2",CONN-SMD_S7B-ZR-SM4A-TF-LF-SN,2,S7B-ZR-SM4A-TF(LF)(SN)_C5118704,C5118704
D1,D_SOD-123,1,ESD,C81598
"F1, F2, F3",1206,3,500mA,C720075
FPC1,FPC-SMD_30P-P0.50_0.5-30P-XJH2.0-043,1,0.5-30P XJH2.0 043,C5373440
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_6028R,28,SK6812MINI-E,C5149201
"R1, R2, R3, R4",0402,4,27R,C137890
R10,0402,1,910K,C25800
R11,0402,1,470R,C25117
R12,0402,1,4.7M,C474132
"R13, R14",0402,2,5k1,C25905
"R5, R6",0402,2,1k,C11702
R7,0402,1,4K7, C25900
"R8, R9",0402,2,10k,C25744
SW1,SW-SMD_TS24CA,1,TS24CA,C393942
SW2,SW-TH_SS-12D07-X-X,1,SS-12D07-L5-B,C480345
"SW3, SW4, SW5, SW6, SW7, SW8",SW-TH_4P-L12.0-W12.0-P5.00-LS12.5,6,GT-TC152A-H085-L1,C2843937
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LV1T34DBVR,C100024
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C131025
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U5,SOT-23-6,1,USBLC6-2SC6,C2827654
USB1,USB-A-SMD_C41014,1,USB-AF-90-10X15.7-H5.72-CB,C41014
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
