Designator,Mid X,Mid Y,Rotation,Layer
C1,22.96,-91.49,270.0,bottom
C10,147.03,-129.65,270.0,bottom
C11,142.3,-98.06,270.0,bottom
C12,143.67,-98.06,90.0,bottom
C13,146.04,-129.65,270.0,bottom
C14,144.74,-98.06,90.0,bottom
C15,145.18,-117.41,90.0,bottom
C16,148.34,-116.63,90.0,bottom
C17,148.16,-98.01,90.0,bottom
C18,154.04,-120.45,180.0,bottom
C19,142.31,-124.58,0.0,bottom
C2,138.12,-114.89,270.0,bottom
C20,154.22,-124.6,180.0,bottom
C21,148.01,-129.65,270.0,bottom
C22,153.98,-97.98,270.0,bottom
C23,154.96,-97.98,270.0,bottom
C24,142.455,-120.25,0.0,bottom
C25,144.2,-117.41,90.0,bottom
C26,28.31,-81.79,180.0,bottom
C27,127.8,-137.69,180.0,bottom
C28,195.69,-134.86,180.0,bottom
C29,193.36,-88.1,180.0,bottom
C3,150.11,-113.03,90.0,bottom
C30,250.04,-93.54,180.0,bottom
C31,245.96,-65.96,0.0,bottom
C32,189.67,-77.39,0.0,bottom
C33,42.44,-84.26,0.0,bottom
C34,142.38,-140.19,0.0,bottom
C35,210.34,-137.34,0.0,bottom
C36,210.8,-88.16,180.0,bottom
C37,269.1,-93.55,180.0,bottom
C38,230.9,-64.83,180.0,bottom
C39,174.67,-76.2,180.0,bottom
C4,141.57,-118.19,180.0,bottom
C40,93.94,-134.85,180.0,bottom
C41,161.81,-137.69,180.0,bottom
C42,164.77,-100.51,180.0,bottom
C43,220.9,-89.02,180.0,bottom
C44,274.42,-70.46,0.0,bottom
C45,216.48,-65.02,0.0,bottom
C46,170.53,-41.74,180.0,bottom
C47,108.61,-137.35,0.0,bottom
C48,176.51,-140.19,0.0,bottom
C49,184.04,-100.48,180.0,bottom
C5,146.16,-117.41,90.0,bottom
C50,240.33,-89.09,180.0,bottom
C51,260.07,-69.33,180.0,bottom
C52,201.45,-63.85,180.0,bottom
C53,189.36,-41.73,180.0,bottom
C6,150.94,-131.11,0.0,bottom
C7,148.58,-131.1,180.0,bottom
C8,149.33,-116.64,90.0,bottom
C9,140.95,-98.09,270.0,bottom
CH1,32.0,-80.906336,0.0,bottom
CH10,205.119955,-62.976184,0.0,bottom
CH11,261.098744,-97.81125,0.0,bottom
CH12,178.33836,-75.345346,0.0,bottom
CH13,231.946795,-93.293079,0.0,bottom
CH14,181.017149,-45.967224,0.0,bottom
CH2,202.461677,-92.35617,0.0,bottom
CH3,97.597347,-133.993939,0.0,bottom
CH4,175.680082,-104.725332,0.0,bottom
CH5,131.480082,-136.815332,0.0,bottom
CH6,263.757022,-68.431264,0.0,bottom
CH7,165.480082,-136.815332,0.0,bottom
CH8,234.605073,-63.913094,0.0,bottom
CH9,199.362817,-133.993939,0.0,bottom
CN1,122.130082,-108.55,0.0,bottom
CN2,136.7,-74.218785,270.0,bottom
D1,146.46,-96.61,270.0,bottom
F1,151.45,-75.58,90.0,bottom
F2,142.13,-79.01,270.0,bottom
FPC1,148.480082,-102.100865,0.0,bottom
LED1,23.5,-80.406336,180.0,bottom
LED10,207.862817,-133.493939,180.0,bottom
LED11,210.961677,-91.85617,0.0,bottom
LED12,269.598744,-97.31125,0.0,bottom
LED13,226.105073,-63.413094,180.0,bottom
LED14,169.83836,-74.845346,180.0,bottom
LED15,89.097347,-133.493939,180.0,bottom
LED16,156.980082,-136.315332,180.0,bottom
LED17,167.180082,-104.225332,0.0,bottom
LED18,223.446795,-92.793079,0.0,bottom
LED19,272.257022,-67.931264,180.0,bottom
LED2,122.980082,-136.315332,180.0,bottom
LED20,213.619955,-62.476184,180.0,bottom
LED21,172.517149,-45.467224,0.0,bottom
LED22,106.097347,-133.493939,180.0,bottom
LED23,173.980082,-136.315332,180.0,bottom
LED24,184.180082,-104.225332,0.0,bottom
LED25,240.446795,-92.793079,0.0,bottom
LED26,255.257022,-67.931264,180.0,bottom
LED27,196.619955,-62.476184,180.0,bottom
LED28,189.517149,-45.467224,0.0,bottom
LED3,190.862817,-133.493939,180.0,bottom
LED4,193.961677,-91.85617,0.0,bottom
LED5,252.598744,-97.31125,0.0,bottom
LED6,243.105073,-63.413094,180.0,bottom
LED7,186.83836,-74.845346,180.0,bottom
LED8,40.5,-80.406336,180.0,bottom
LED9,139.980082,-136.315332,180.0,bottom
LOGO1,105.0,-115.0,0.0,bottom
R1,147.615,-114.32,270.0,bottom
R10,152.99,-98.0,270.0,bottom
R11,20.78,-83.4,90.0,bottom
R2,146.615,-114.32,270.0,bottom
R3,159.27,-122.55,0.0,bottom
R4,159.27,-121.54,0.0,bottom
R5,158.04,-111.55,0.0,bottom
R6,149.01,-129.63,90.0,bottom
R7,149.16,-98.01,270.0,bottom
R8,150.45,-97.99,270.0,bottom
R9,151.7,-97.99,90.0,bottom
SW1,211.197054,-32.221705,0.0,bottom
SW2,202.387086,-38.846705,270.0,top
SW3,45.0,-38.846705,90.0,top
SW4,223.757022,-38.846705,90.0,top
SW5,58.5,-38.846705,90.0,top
SW6,237.257022,-38.846705,90.0,top
SW7,72.0,-38.846705,90.0,top
SW8,250.757022,-38.846705,90.0,top
U1,148.3,-123.285,0.0,bottom
U2,22.0,-94.43,90.0,bottom
U3,155.31,-114.98,270.0,bottom
U4,140.5675,-115.67,180.0,bottom
U5,140.4775,-112.1,180.0,bottom
USB1,155.343543,-67.1,180.0,bottom
Y1,149.76,-133.63,180.0,bottom
