Designator,Mid X,Mid Y,Rotation,Layer
C1,171.070489,-101.260202,192.0,bottom
C2,152.120489,-97.250202,192.0,bottom
C3,133.770489,-93.350202,192.0,bottom
C4,156.330489,-78.640202,12.0,bottom
CH1,154.449469,-87.504892,12.0,bottom
CH2,131.855039,-102.177886,12.0,bottom
CH3,150.488751,-106.138604,12.0,bottom
CH4,169.122463,-110.099322,12.0,bottom
CN1,157.916279,-120.477799,192.0,bottom
LED1,170.099663,-105.502322,192.0,bottom
LED2,151.465951,-101.541604,192.0,bottom
LED3,132.832239,-97.580886,192.0,bottom
LED4,155.426669,-82.907892,12.0,bottom
LOGO1,170.0,-90.0,0.0,bottom
