Designator,Mid X,Mid Y,Rotation,Layer
C1,178.77,-108.25,180.0,bottom
C2,157.02,-108.25,180.0,bottom
C3,153.52,-95.25,180.0,bottom
C4,130.52,-95.25,180.0,bottom
C5,124.02,-95.25,180.0,bottom
C6,102.02,-95.25,180.0,bottom
C7,140.02,-76.0,0.0,bottom
C8,162.27,-76.75,0.0,bottom
CH1,151.944907,-71.895205,0.0,bottom
CH2,112.486056,-99.663376,0.0,bottom
CH3,141.986056,-99.663376,0.0,bottom
CH4,168.491446,-112.613832,0.0,bottom
CN1,147.926279,-120.467798,192.0,bottom
LED1,176.991446,-112.113832,180.0,bottom
LED2,159.991446,-112.113832,180.0,bottom
LED3,150.486056,-99.163376,180.0,bottom
LED4,133.486056,-99.163376,180.0,bottom
LED5,120.986056,-99.163376,180.0,bottom
LED6,103.986056,-99.163376,180.0,bottom
LED7,143.444907,-71.395205,0.0,bottom
LED8,160.444907,-71.395205,0.0,bottom
LOGO1,160.0,-94.0,0.0,bottom
